title,subtitle,arg
흠 흠미,케장콘 6,6
안녕하세요,케장콘 6,6
다음날,케장콘 6,6
도당채 왜 그러한 짓을,케장콘 6,6
너 그런거 보니,케장콘 6,6
(떨리다 눈 떨어지는거),케장콘 6,6
게헥,케장콘 6,6
감사합니다,케장콘 6,6
아 아닌데요,케장콘 6,6
않하면않됨,케장콘 6,6
뭐야 돌려줘요,케장콘 6,6
와 진짜 용하다,케장콘 6,6
으아 가지말고 내 얘기를 들어,케장콘 7,7
이래도 하시겠습니까,케장콘 7,7
맨탈에 관리 하여야 한다,케장콘 7,7
이것스샷찎었습니다 신고감이다,케장콘 7,7
넘 넘졸려 데박 죽는다,케장콘 7,7
잘 아셨지요,케장콘 7,7
감동 (무표정),케장콘 7,7
나도 아니다,케장콘 7,7
그하하학 하학학 하하학 그하학 그하하하 그하학 흐학학,케장콘 7,7
축하합니다 당신의 지갑은(는) 사라졌다,케장콘 7,7
그래서 제 점수는요 12점 만점에 판문점 입니다,케장콘 7,7
아 세상 참 흉흉하여라,케장콘 7,7
(책상/밥상 뒤엎는거),케장콘 7,7
이게 이게대체 모슨 소리여,케장콘 7,7
왜요,케장콘 7,7
내맘아뇨,케장콘 7,7
우 야스,케장콘 7,7
으아악 아니야,케장콘 7,7
하여튼 알지도 못하면서,케장콘 7,7
아흐 됐어 말귈을 모알아들어,케장콘 7,7
예,케장콘 7,7
저용,케장콘 7,7
한심,케장콘 7,7
사실은 그릇개 생강안혀,케장콘 7,7
오늘부터 우리 베프인 부분인 각이다,케장콘 8,8
으음 분하지만 맞는 말이다 하지만 분하다,케장콘 8,8
(핸드폰 받아들고 놀라면서 느낌표 !!!!! 뜨는거),케장콘 8,8
오지는부분 인정하는각 1따봉 드렸구요,케장콘 8,8
근데 누구시죠,케장콘 8,8
그럴까요,케장콘 8,8
아랫분도 이미 동의하신 부분 ㄹㅇ,케장콘 8,8
흑흑 난 단지 도와주고 싶었을 뿐인데,케장콘 8,8
싫어,케장콘 8,8
힝잉,케장콘 8,8
싸우지 말고 친목해,케장콘 8,8
모냐는,케장콘 8,8
저런 쯧쯧,케장콘 8,8
생각풍선과 ? 나오는거,케장콘 8,8
아잇 진정해,케장콘 8,8
어른들은 아무것도 몰라,케장콘 8,8
예 엉님,케장콘 8,8
하트 반짝이는거,케장콘 8,8
아 예,케장콘 8,8
라고 할줄을 아셧습니까,케장콘 8,8
오들오들,케장콘 8,8
파워풀 홀스(말세다),케장콘 8,8
이거 더갖고와 아니지 더갖고와가 아니야 다갖고와,케장콘 8,8
ㅎㅎㅎㅎㅎㅎ,케장콘 8,8
지금 공부하면 꿈을 이루지만,케장콘 9,9
지금 자면 잠을 이룬다 잠 은 이루어진다,케장콘 9,9
퍼스널 윈드 (개인적인 바람),케장콘 9,9
아니 매너하라고,케장콘 9,9
그게다야 뭘더바래,케장콘 9,9
몰바라냐고 그게다라고 아악 그게다라고,케장콘 9,9
집가고싶어,케장콘 9,9
이런걸로 경쟁좀 하지마,케장콘 9,9
머임,케장콘 9,9
Right now (여기서 우회전),케장콘 9,9
팝콘 좋아,케장콘 9,9
짜식이 짜게먹으면 안좋다,케장콘 9,9
급침환,케장콘 9,9
진상도 정돈컷,케장콘 9,9
따라서 유죄입니다,케장콘 9,9
나다,케장콘 9,9
크ㅓ크크큭,케장콘 9,9
어떴 억떻에 었떳에 그럴수가,케장콘 9,9
모삿어요,케장콘 9,9
충동구매라 영수증 봐야 앎,케장콘 9,9
어떻게알아요,케장콘 9,9
아니오,케장콘 9,9
아주 못됐어,케장콘 9,9
이게 현실인거예요,케장콘 9,9
와아 와아아아아 일찍 일어난 보람 有,케장콘 10,10
여보시어요,케장콘 10,10
그렇게까지 물어보시면 할 말은 없구요,케장콘 10,10
흠 글쎄요,케장콘 10,10
나도 한입만,케장콘 10,10
뻥이야,케장콘 10,10
(좌우로 오두방정떠는거),케장콘 10,10
응너도,케장콘 10,10
제가 봤어요,케장콘 10,10
다음부턴 그러지 마세요,케장콘 10,10
예 미안합니다,케장콘 10,10
맞는 말 같아서 수긍했다,케장콘 10,10
진짜임,케장콘 10,10
알겠습니까,케장콘 10,10
(두려움에 떠는 오징어채),케장콘 10,10
유노,케장콘 10,10
해보기도 전에 포기하지 마,케장콘 10,10
해보기도 전에 도전하지 말라,케장콘 10,10
그거 저희집에도 200개 정도 있을걸요,케장콘 10,10
내가 그걸 어떻게 아냐,케장콘 10,10
야 너 상태가 왜그랭,케장콘 10,10
찐자루 좋와,케장콘 10,10
받아 받 받아주겠니,케장콘 10,10
what,케장콘 10,10
난 서양의 배추다,케장콘 11,11
이것이 고관절 어떻게 된 일인지,케장콘 11,11
ㅇㅇ 알겠는걸 ㅋㅋ,케장콘 11,11
대예의박,케장콘 11,11
저가 하기 실어요,케장콘 11,11
그것만은 알아둬라 좋아서 하는게 아님을,케장콘 11,11
저이 이제 자요,케장콘 11,11
자고 마는데,케장콘 11,11
난 나를 믿어 미래의 내가 어떻게든 해줄거야,케장콘 11,11
밥 먹고싶어 배 고파,케장콘 11,11
술 마셨어요,케장콘 11,11
근대니가 몰아냐고,케장콘 11,11
어,케장콘 11,11
와 와이라는교,케장콘 11,11
(3D안경낀거),케장콘 11,11
고생하셨씀다 엉님,케장콘 11,11
O M G O 오이오이 M 믿고있었다고 G 젠장,케장콘 11,11
유어웰컴 당신은 잘 오다,케장콘 11,11
무시무시한 일이 아닐 수 없습니다,케장콘 11,11
v감탄v,케장콘 11,11
금일 팩트 사용량을 초과하셨습니다,케장콘 11,11
네알겟습니다,케장콘 11,11
(땀 드랍하는거),케장콘 11,11
미안해 진심이 아니었어 사랑해,케장콘 11,11
누구요,케장콘 12,12
어떱혜알알냐,케장콘 12,12
나때는 이런거 상상도 못했어 상상력부족,케장콘 12,12
감사패 아무튼감사함,케장콘 12,12
나는된다 나는된다,케장콘 12,12
고운말써,케장콘 12,12
하하 난 겁쟁이가 아니다,케장콘 12,12
(물음표 띄우고 왔다갔다 하는거),케장콘 12,12
그재잉,케장콘 12,12
않인가 않임말고,케장콘 12,12
와아 와아아아 늦게까지 안잔 보람 有,케장콘 12,12
칭찬해조 칭찬해조,케장콘 12,12
(비디오 깨지듯 흔들리는 사람),케장콘 12,12
좋와요,케장콘 12,12
공식적인 내생각,케장콘 12,12
이달의 레전드 당신,케장콘 12,12
아아 너무귀엽다,케장콘 12,12
우우 나쁜사람,케장콘 12,12
괜찮습니다 죄송하세요,케장콘 12,12
경찰관님 여기에욧,케장콘 12,12
너야말로 모지,케장콘 12,12
하지만 이렇게 간단하게 피했습니다,케장콘 12,12
아닛,케장콘 12,12
(빛나는 별),케장콘 12,12
예 인정합니다 인정브래쓰 발사 푸슈,케장콘 13,13
쾅 쾅,케장콘 13,13
그게 저예요,케장콘 13,13
울지마,케장콘 13,13
히히,케장콘 13,13
싼게 비지떡 싼 캐비지 떡,케장콘 13,13
안녕못해 잘못지내 밥끊었어 번호바꼈어,케장콘 13,13
난 커서 과학자가 될꺼야,케장콘 13,13
그게 아니다 어리석은 녀석,케장콘 13,13
당신은 서서히 잠에 듭니다 서서히,케장콘 13,13
왠지 아세요,케장콘 13,13
그렇게 잘 아는놈이 왜그런대,케장콘 13,13
하아 고 리 타 분,케장콘 13,13
너 그런애니 너 그런애였니,케장콘 13,13
나만아니면돼,케장콘 13,13
우리가 돈이없지 가오가 없냐,케장콘 13,13
우리가 다없지 뭐가있냐,케장콘 13,13
불꽃효도,케장콘 13,13
인성 괜찮니,케장콘 13,13
이었다고 한다,케장콘 13,13
였던것,케장콘 13,13
그래도 아직 할만한거같은데,케장콘 13,13
안니,케장콘 13,13
잘 하자 잘 해,케장콘 13,13
이거 그만가져와,케장콘 14,14
(그만가져오라는거 숙여서 피하는거),케장콘 14,14
아 이건 그 뭐더라,케장콘 14,14
와 신난다,케장콘 14,14
근대용(모던 타임즈 주래곤),케장콘 14,14
그럼다행이다,케장콘 14,14
이게게임이냐,케장콘 14,14
(상상도 못한 정체처럼 생긴거 ㄴㅇㄱ),케장콘 14,14
나도할래,케장콘 14,14
하아 못해먹겟다,케장콘 14,14
너의곁엔 우리가 있잖아,케장콘 14,14
(금메달 걸고 V하는거),케장콘 14,14
재밌는 얘기 해주세요,케장콘 14,14
? ㅋㅋ,케장콘 14,14
얼씨구,케장콘 14,14
(비오는 창문),케장콘 14,14
허허 난세로다,케장콘 14,14
의심의 여지없는 조작 100% 가짜,케장콘 14,14
난 모를란다,케장콘 14,14
그럼 나도 모를란다 ㅋㅋ,케장콘 14,14
루돌프,케장콘 14,14
아니요ㅋ 아닌데요ㅋㅋ 어 아니야 ㅋㅋㅋ,케장콘 14,14
님아 그렀타고 남한테 피에를 주면 않되재,케장콘 14,14
네 아니 그래서 몬데이게 몬데이게다 이게다모냐고,케장콘 14,14
